goal,shot_statsbomb_xg,random_xg,gender,country
1,0.76,0.7255066173095485,male,Europe
0,0.01876838,0.19272553935913306,male,Europe
0,0.011493988,0.9386198901621166,male,Europe
0,0.037931150000000004,0.3740868902062555,male,Europe
0,0.00983486,0.8232776440953378,male,Europe
0,0.014247056000000001,0.7431894102326679,male,Europe
0,0.018582786,0.04272533756133423,male,Europe
0,0.014790367,0.9352119645695467,male,Europe
0,0.009469723000000001,0.5310031091640518,male,Europe
0,0.05087029,0.40795628691751173,male,Europe
0,0.015496306000000001,0.553700984079113,male,Europe
0,0.06709672,0.8864473082634903,male,Europe
0,0.1307719,0.048098868408508744,male,Europe
0,0.020670831,0.20959367947553864,male,Europe
0,0.01738556,0.4067732051310252,male,Europe
0,0.02279718,0.11507382051009019,male,Europe
0,0.050377708,0.7242315025933276,male,Europe
0,0.08066935,0.4956743840079687,male,Europe
0,0.13260455000000002,0.43822848013266313,male,Europe
0,0.026193267000000003,0.9623973686310743,male,Europe
0,0.14755689,0.24149622530496773,male,Europe
0,0.031593475,0.5413048473236979,male,Europe
0,0.019779755,0.2830184588939545,male,Europe
0,0.06988327,0.3349517403272825,male,Europe
0,0.21116774,0.5020876730702644,male,Europe
0,0.037894208000000006,0.04161867374432504,male,Europe
1,0.10080382,0.8618484935109479,male,Europe
0,0.023759691000000003,0.6572077741107865,male,Europe
0,0.0495778,0.7442895458110995,male,Europe
0,0.08088469,0.2878850730261686,male,Europe
0,0.033683486000000006,0.1437526983161035,male,Europe
0,0.023529915000000002,0.8688460380714935,male,Europe
0,0.034307104000000005,0.796805590755383,male,Europe
0,0.014633894000000001,0.03874639367726351,male,Europe
0,0.026255094000000003,0.737034304535414,male,Europe
0,0.07600548,0.027015962881398292,male,Europe
0,0.053768422,0.46148635470441923,male,Europe
0,0.026850337000000002,0.4859462132070075,male,Europe
0,0.29897407,0.9518716673557409,male,Europe
0,0.10090334000000001,0.36102249250151963,male,Europe
0,0.035271704,0.710774741053582,male,Europe
